8-1/2 x 11 White 1 side,0.025
8-1/2 x 11 White 2 side,0.025
8-1/2 x 11 Color 1 side,0.04
8-1/2 x 11 Color 2 side,0.04
8-1/2 x 11 White 3 hole punch 1 side,0.025
8-1/2 x 11 White 3 hole punch 2 side,0.025
8-1/2 x 14 White 1 side,0.04
8-1/2x14White 2 side,0.04
8-1/2 x 14 Color 1 side,0.04
8-1/2 x 14 Color 2 side,0.04
#10 regular white envelopes,0.04
9 x 12 construction paper 1 side,0.025
9 x 12 construction paper 2 side,0.025
8-1/2 x 11 astrobright 1 side,0.04
8-1/2 x 11 astrobright 2 side,0.04
11 x 17 white paper 1 side,0.04
11 x 17 white paper 2 side,0.04
Card Stock 1 side,0.04
Card Stock 2 side,0.04
Scrap Paper,0.016
Color copies,0.17
Transparencies,0.18
9 x 12 white envelopes (report cards),0.07
Rotary copies,0.05
